element,name,team,position,round,total_points,value,minutes,was_home,opponent_team,kickoff_time_formatted,team_h_score,team_a_score,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,transfers_balance,selected,transfers_in,transfers_out
1,Ospina,Arsenal,Goalkeeper,1,0,5.0,0,True,Leicester,11 Aug 19:45,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8964,0,0
1,Ospina,Arsenal,Goalkeeper,2,0,5.0,0,False,Stoke,19 Aug 17:30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1128,11030,195,1323
1,Ospina,Arsenal,Goalkeeper,3,0,5.0,0,False,Liverpool,27 Aug 16:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-982,11243,106,1088
1,Ospina,Arsenal,Goalkeeper,4,0,4.9,0,True,Bournemouth,09 Sep 15:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-730,11534,155,885
1,Ospina,Arsenal,Goalkeeper,5,0,4.9,0,False,Chelsea,17 Sep 13:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-441,11566,75,516
1,Ospina,Arsenal,Goalkeeper,6,0,4.9,0,True,West Brom,25 Sep 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-425,11539,147,572
1,Ospina,Arsenal,Goalkeeper,7,0,4.9,0,True,Brighton,01 Oct 12:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-354,11534,119,473
1,Ospina,Arsenal,Goalkeeper,8,0,4.9,0,False,Watford,14 Oct 17:30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-300,11589,138,438
1,Ospina,Arsenal,Goalkeeper,9,0,4.9,0,False,Everton,22 Oct 13:30,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-202,11512,66,268
1,Ospina,Arsenal,Goalkeeper,10,0,4.9,0,True,Swansea,28 Oct 15:00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-530,11027,39,569
1,Ospina,Arsenal,Goalkeeper,11,0,4.9,0,False,Man City,05 Nov 14:15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-312,10761,20,332
1,Ospina,Arsenal,Goalkeeper,12,0,4.8,0,True,Spurs,18 Nov 12:30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-243,10611,21,264
1,Ospina,Arsenal,Goalkeeper,13,0,4.8,0,False,Burnley,26 Nov 14:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51,10686,47,98
1,Ospina,Arsenal,Goalkeeper,14,0,4.8,0,True,Huddersfield,29 Nov 19:45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,10704,36,99
1,Ospina,Arsenal,Goalkeeper,15,0,4.8,0,True,Man Utd,02 Dec 17:30,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,10741,39,96
1,Ospina,Arsenal,Goalkeeper,16,0,4.8,0,False,Southampton,10 Dec 12:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,10822,44,133
1,Ospina,Arsenal,Goalkeeper,17,0,4.8,0,False,West Ham,13 Dec 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,10832,28,104
1,Ospina,Arsenal,Goalkeeper,18,0,4.8,0,True,Newcastle,16 Dec 15:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,10875,28,89
1,Ospina,Arsenal,Goalkeeper,19,0,4.8,0,True,Liverpool,22 Dec 19:45,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,10927,48,133
1,Ospina,Arsenal,Goalkeeper,20,0,4.8,0,False,Crystal Palace,28 Dec 20:00,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,10945,48,125
1,Ospina,Arsenal,Goalkeeper,21,0,4.8,0,False,West Brom,31 Dec 16:30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110,10933,51,161
1,Ospina,Arsenal,Goalkeeper,22,0,4.8,0,True,Chelsea,03 Jan 19:45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,10950,31,63
1,Ospina,Arsenal,Goalkeeper,23,0,4.8,0,False,Bournemouth,14 Jan 13:30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,11038,59,158
1,Ospina,Arsenal,Goalkeeper,24,0,4.8,0,True,Crystal Palace,20 Jan 15:00,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,11075,40,122
1,Ospina,Arsenal,Goalkeeper,25,0,4.8,0,False,Swansea,30 Jan 19:45,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,11124,85,155
1,Ospina,Arsenal,Goalkeeper,26,1,4.8,20,True,Everton,03 Feb 17:30,5,1,0,0,0,0,0,0,0,0,0,1,0,6,5.0,0.0,0.0,0.5,0,0,0,1,4,0,0,0,8,7,0,0,0,0,0,0,0,0,0,-54,11137,26,80
1,Ospina,Arsenal,Goalkeeper,27,0,4.8,0,False,Spurs,10 Feb 12:30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,11522,345,130
1,Ospina,Arsenal,Goalkeeper,28,0,4.8,0,True,Man City,01 Mar 19:45,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153,11563,57,210
1,Ospina,Arsenal,Goalkeeper,29,0,4.8,0,False,Brighton,04 Mar 13:30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49,11596,33,82
1,Ospina,Arsenal,Goalkeeper,30,0,4.8,0,True,Watford,11 Mar 13:30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,12086,59,83
1,Ospina,Arsenal,Goalkeeper,32,6,4.8,90,True,Stoke,01 Apr 13:30,3,0,0,0,1,0,0,0,0,0,0,2,0,26,15.6,0.0,0.0,1.6,0,0,0,0,12,0,0,0,31,21,0,0,0,0,0,0,0,0,0,-13,12240,58,71
1,Ospina,Arsenal,Goalkeeper,33,0,4.8,0,True,Southampton,08 Apr 14:15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,12542,515,310
1,Ospina,Arsenal,Goalkeeper,34,0,4.8,0,False,Newcastle,15 Apr 13:30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-213,12347,20,233
1,Ospina,Arsenal,Goalkeeper,35,3,4.8,90,True,West Ham,22 Apr 13:30,4,1,0,0,0,1,0,0,0,0,0,3,0,16,23.6,0.0,0.0,2.4,0,0,0,1,13,0,0,0,22,20,0,0,0,0,0,0,0,0,0,51,12612,155,104
1,Ospina,Arsenal,Goalkeeper,36,1,4.8,90,False,Man Utd,29 Apr 16:30,2,1,0,0,0,2,0,0,0,0,0,0,0,8,1.8,0.0,0.0,0.2,0,0,0,1,7,0,0,0,16,9,0,0,0,0,0,0,0,0,0,110,12630,218,108
1,Ospina,Arsenal,Goalkeeper,37,0,4.8,0,True,Burnley,06 May 16:30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,13211,641,146
1,Ospina,Arsenal,Goalkeeper,37,0,4.8,0,False,Leicester,09 May 19:45,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,13211,641,146
1,Ospina,Arsenal,Goalkeeper,38,8,4.8,90,False,Huddersfield,13 May 15:00,0,1,0,0,1,0,0,0,0,0,0,3,1,30,29.8,0.0,0.0,3.0,0,0,0,2,15,0,0,0,41,26,0,0,0,0,0,0,0,0,0,-145,13121,114,259
2,Cech,Arsenal,Goalkeeper,1,1,5.5,90,True,Leicester,11 Aug 19:45,4,3,0,0,0,3,0,0,0,0,0,0,0,9,12.2,0.0,0.0,1.2,0,0,0,0,4,0,1,0,20,16,0,0,0,0,0,0,0,0,0,0,222249,0,0
2,Cech,Arsenal,Goalkeeper,2,3,5.5,90,False,Stoke,19 Aug 17:30,1,0,0,0,0,1,0,0,0,0,0,3,0,14,25.8,0.0,0.0,2.6,0,0,0,1,7,0,0,0,18,16,0,0,0,0,0,0,0,0,0,-12409,262457,4337,16746
2,Cech,Arsenal,Goalkeeper,3,2,5.5,90,False,Liverpool,27 Aug 16:00,4,0,0,0,0,4,0,0,0,0,0,6,0,23,58.4,0.0,0.0,5.8,0,0,0,4,10,0,0,0,18,12,0,0,0,0,0,0,0,0,0,-18456,261327,1931,20387
2,Cech,Arsenal,Goalkeeper,4,6,5.5,90,True,Bournemouth,09 Sep 15:00,3,0,0,0,1,0,0,0,0,0,0,2,0,25,19.6,0.0,0.0,2.0,0,0,0,0,6,0,0,0,32,16,0,0,0,0,0,0,0,0,1,-14720,262836,5428,20148
2,Cech,Arsenal,Goalkeeper,5,10,5.5,90,False,Chelsea,17 Sep 13:30,0,0,0,0,1,0,0,0,0,0,0,4,3,30,30.8,0.0,0.0,3.1,0,0,0,1,12,0,0,0,30,18,0,0,0,0,0,0,0,0,0,-8113,262787,2010,10123
2,Cech,Arsenal,Goalkeeper,6,6,5.5,90,True,West Brom,25 Sep 20:00,2,0,0,0,1,0,0,0,0,0,0,2,0,25,18.4,0.0,0.0,1.8,0,0,0,1,10,0,0,0,20,16,0,0,0,0,0,0,0,0,0,1650,275010,11369,9719
2,Cech,Arsenal,Goalkeeper,7,6,5.5,90,True,Brighton,01 Oct 12:00,2,0,0,0,1,0,0,0,0,0,0,1,0,25,7.2,0.0,0.0,0.7,0,0,0,5,9,0,0,0,19,12,0,0,0,0,0,0,0,0,0,3690,287723,15096,11406
2,Cech,Arsenal,Goalkeeper,8,1,5.5,90,False,Watford,14 Oct 17:30,2,1,0,0,0,2,0,0,0,0,0,1,0,11,7.4,0.0,0.0,0.7,0,0,0,1,10,0,0,0,27,12,0,0,0,0,0,0,0,0,0,-1660,295997,8675,10335
2,Cech,Arsenal,Goalkeeper,9,1,5.5,90,False,Everton,22 Oct 13:30,2,5,0,0,0,2,0,0,0,0,0,1,0,6,1.0,0.0,0.0,0.1,0,0,0,0,6,0,0,0,25,15,0,0,1,0,1,0,0,0,0,-7705,291032,2101,9806
2,Cech,Arsenal,Goalkeeper,10,2,5.5,90,True,Swansea,28 Oct 15:00,2,1,0,0,0,1,0,0,0,0,0,1,0,11,9.8,0.0,0.0,1.0,0,0,0,0,11,0,0,0,14,11,0,0,0,0,0,0,0,0,0,3778,298019,14263,10485
2,Cech,Arsenal,Goalkeeper,11,2,5.4,90,False,Man City,05 Nov 14:15,3,1,0,0,0,3,0,0,0,0,0,3,0,14,19.0,0.0,0.0,1.9,0,0,0,1,6,0,0,0,23,16,0,0,0,0,0,0,0,0,0,-12168,287256,1152,13320
2,Cech,Arsenal,Goalkeeper,12,8,5.4,90,True,Spurs,18 Nov 12:30,2,0,0,0,1,0,0,0,0,0,0,4,1,29,29.4,0.0,0.0,2.9,0,0,0,0,11,0,0,0,27,9,0,0,0,0,0,0,0,0,0,-8972,279687,1388,10360
2,Cech,Arsenal,Goalkeeper,13,6,5.4,90,False,Burnley,26 Nov 14:00,0,1,0,0,1,0,0,0,0,0,0,2,0,26,11.2,0.0,0.0,1.1,0,0,0,2,10,0,0,0,20,14,0,0,0,0,0,0,0,0,0,1099,282218,4465,3366
2,Cech,Arsenal,Goalkeeper,14,6,5.4,90,True,Huddersfield,29 Nov 19:45,5,0,0,0,1,0,0,0,0,0,0,2,0,25,17.2,0.0,0.0,1.7,0,0,0,2,8,0,0,0,28,26,0,0,0,0,0,0,0,0,0,2433,285936,5687,3254
